chapter 1 introduction,seg_1
7.2 the internet,seg_187
7.3 internet migration to ipv6,seg_189
7.4 the transformation of the internet,seg_191
7.5 web access and the tcp congestion control window,seg_193
7.6 network resource management,seg_195
7.7 interconnection networks for computer clouds,seg_197
7.8 storage area networks,seg_199
7.9 content-delivery networks,seg_201
7.10 overlay networks and small-world networks,seg_203
7.11 scale-free networks,seg_205
7.12 epidemic algorithms,seg_207
7.13 further reading,seg_209
7.14 history notes,seg_211
8.1 the evolution of storage technology,seg_217
8.2 storage models, file systems, and databases,seg_219
8.3 distributed file systems: the precursors,seg_221
8.4 general parallel file system,seg_223
8.5 google file system,seg_225
8.6 apache hadoop,seg_227
8.7 locks and chubby: a locking service,seg_229
8.8 transaction processing and nosql databases,seg_231
8.9 bigtable,seg_233
8.10 megastore,seg_235
8.11 history notes,seg_237
8.12 further reading,seg_239
9.1 cloud security risks,seg_245
9.2 security: the top concern for cloud users,seg_247
9.3 privacy and privacy impact assessment,seg_249
9.4 trust,seg_251
9.5 operating system security,seg_253
9.6 virtual machine security,seg_255
9.7 security of virtualization,seg_257
9.8 security risks posed by shared images,seg_259
9.9 security risks posed by a management os,seg_261
9.10 xoar: breaking the monolithic design of the tcb,seg_263
9.11 a trusted virtual machine monitor,seg_265
9.12 further reading,seg_267
10.1 complex systems,seg_273
10.2 abstraction and physical reality,seg_275
10.3 quantifying complexity,seg_277
10.4 emergence and self-organization,seg_279
10.5 composability bounds and scalability,seg_281
10.6 modularity, layering, and hierarchy,seg_283
10.7 more on the complexity of computing and communication systems,seg_285
10.8 systems of systems: challenges and solutions,seg_287
10.9 further reading,seg_289
11.1 amazon web services: ec2 instances,seg_295
11.2 connecting clients to cloud instances through firewalls,seg_297
11.3 security rules for application and transport layer protocols in ec2,seg_299
11.4 how to launch an ec2 linux instance and connect to it,seg_301
11.5 how to use s3 in java,seg_303
11.6 how to manage sqs services in c#,seg_305
11.7 how to install the simple notification service on ubuntu 10.04,seg_307
11.8 how to create an ec2 placement group and use mpi,seg_309
11.9 how to install hadoop on eclipse on a windows system,seg_311
11.10 cloud-based simulation of a distributed trust algorithm,seg_313
11.11 a trust management service,seg_315
11.12 a cloud service for adaptive data streaming,seg_317
11.13 cloud-based optimal fpga synthesis,seg_319
